44% of Aussie women don't feel safe walking home alone at night — compared to just 16% of men,44% phụ nữ Úc không cảm thấy an toàn khi đi bộ một mình về nhà vào ban đêm – so với chỉ 16% nam giới là như vậy
I feel safe walking alone at night in my neighbourhood.,Tôi cảm thấy an toàn khi đi bộ một mình ban đêm trong khu vực tôi sinh sống.
"It's also pretty clear that where someone can afford to live has an impact on how they answer this question. Only 52% of low-income Australians feel safe walking alone at night in their neighbourhood, compared to 71% of our top earners.","Điều cũng khá rõ ràng là, người ta có đủ khả năng tài chính để chọn sống ở đâu, thì nơi đó có ảnh hưởng đến cách họ trả lời câu hỏi này. Chỉ 52% người Úc có lợi tức thấp cảm thấy an toàn khi đi bộ một mình ban đêm trong khu vực họ sinh sống mà thôi, so với 71% những người có lợi tức cao hàng đầu của chúng ta."
I often worry about what other people think of me.,Tôi thường lo lắng về việc người khác nghĩ gì về mình.
You're less worried about what others think of you than [[x]]% of people your age,Quý vị lo lắng về việc người khác nghĩ gì về mình ít hơn so với [[x]]% mọi người ở tuổi quý vị
"More women than men tend to worry about what other people think of them, but the biggest difference occurs across a lifetime. The older we get, the less we seem to care about what others might think.","Nhiều phụ nữ hơn nam giới có xu hướng lo lắng về việc người khác nghĩ gì về mình, nhưng sự khác nhau lớn nhất diễn ra trong suốt đời. Càng lớn tuổi, chúng ta có vẻ càng ít quan tâm đến việc người khác có thể nghĩ gì."
I often worry about what other people think of me.,Tôi thường lo lắng về việc người khác nghĩ gì về mình.
You're more worried about what other people think of you than [[x]]% of people your age,Quý vị lo lắng về việc người khác nghĩ gì về mình nhiều hơn so với [[x]]% mọi người ở tuổi quý vị
"More women than men tend to worry about what other people think of them, but the biggest difference occurs across a lifetime. The older we get, the less we seem to care about what others might think.","Nhiều phụ nữ hơn nam giới có xu hướng lo lắng về việc người khác nghĩ gì về mình, nhưng sự khác nhau lớn nhất diễn ra trong suốt đời. Càng lớn tuổi, chúng ta có vẻ càng ít quan tâm đến việc người khác có thể nghĩ gì."
I often worry about what other people think of me.,Tôi thường lo lắng về việc người khác nghĩ gì về mình.
Australians are split down the middle on whether they worry about what others think of them,Người Úc được chia đôi ở giữa đối với vấn đề liệu họ có lo lắng về việc người khác nghĩ gì về mình không
"Overall, 42% say that what others think of them often concerns them, while 41% don't. More women than men tend to worry about this, but the biggest difference occurs across a lifetime. The older we get, the less we seem to care about what others might think.","Về tổng thể, 42% nói là việc người khác nghĩ gì về họ thường khiến họ bận tâm, trong khi 41% không như vậy. Nhiều phụ nữ hơn nam giới có xu hướng lo lắng về điều này, nhưng sự khác nhau lớn nhất diễn ra trong suốt đời. Càng lớn tuổi, chúng ta có vẻ càng ít quan tâm đến việc người khác có thể nghĩ gì."
I often worry about what other people think of me.,Tôi thường lo lắng về việc người khác nghĩ gì về mình.
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
Climate change has been established as a serious problem and immediate action is necessary. ,Thay đổi khí hậu đã được chứng minh là một vấn đề nghiêm trọng và cần có các hành động ngay lập tức.
There is enough evidence that climate change is taking place and some action should be taken.  ,Có đủ bằng chứng cho thấy sự thay đổi khí hậu đang diễn ra và nên có một số hành động nào đó.
We don’t know enough about climate change and more research is necessary before we take any actions. ,Chúng ta chưa biết đủ về thay đổi khí hậu và cần phải nghiên cứu thêm nữa trước khi có bất kỳ hành động nào.
Concern about climate change is unwarranted. ,Các quan ngại về sự thay đổi khí hậu là không có cơ sở.
Not sure  ,Không biết chắc chắn
You're with 60% of Australians who say climate change is a serious problem and now is the time to act,Quý vị cùng với 60% người Úc nói là sự thay đổi khí hậu là một vấn đề nghiêm trọng và giờ là lúc cần phải hành động
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
"People who think concern about climate change is unwarranted are more likely to be men, to be white Australians, to be older and to live in regional and rural parts of the country.","Những người cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở, nhiều khả năng là những người Úc da trắng, lớn tuổi hơn và sống ở miền quê và những phần xa xôi của đất nước."
You're with 24% of Australians who say 'some action' should be taken on climate change,"Quý vị cùng với 24% người Úc nói rằng, nên có 'một số hành động nào đó' đối với sự thay đổi khí hậu"
That compares with 60% of people who think immediate action is needed.,Điều này so với 60% mọi người cho rằng cần có các hành động ngay lập tức.
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
"People who think concern about climate change is unwarranted are more likely to be men, to be white Australians, to be older and to live in regional and rural parts of the country.","Những người cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở, nhiều khả năng là những người Úc da trắng, lớn tuổi hơn và sống ở miền quê và những phần xa xôi của đất nước."
You're with 8% of Australians who think we need more research on climate change before taking action,Quý vị cùng với 8% người Úc cho rằng chúng ta cần có các nghiên cứu thêm nữa về sự thay đổi khí hậu trước khi có các hành động
That compares with 60% of people who think immediate action is needed.,Con số này so với 60% mọi người cho rằng cần có các hành động ngay lập tức.
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
"People who think concern about climate change is unwarranted are more likely to be men, to be white Australians, to be older and to live in regional and rural parts of the country.","Những người cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở, nhiều khả năng là những người Úc da trắng, lớn tuổi hơn và sống ở miền quê và những phần xa xôi của đất nước."
You're with 7% of Australians who think concern about climate change is unwarranted,Quý vị cùng với 7% người Úc cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở
That compares with 60% of people who think immediate action is needed.,Con số này so với 60% mọi người cho rằng cần có các hành động ngay lập tức.
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
"People who think concern about climate change is unwarranted are more likely to be men, to be white Australians, to be older and to live in regional and rural parts of the country.","Những người cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở, nhiều khả năng là những người Úc da trắng, lớn tuổi hơn và sống ở miền quê và những phần xa xôi của đất nước."
"You're not sure what to do about climate change, but 60% say now is the time to act","Quý vị không biết chắc chắn cần phải làm gì với sự thay đổi khí hậu, nhưng 60% nói rằng, giờ là lúc cần phải hành động"
"From what you know about climate change, which of the following statements comes closest to your opinion?","Từ những gì quý vị biết về sự thay đổi khí hậu, câu nào trong số những câu sau gần nhất với ý kiến của quý vị?"
"People who think concern about climate change is unwarranted are more likely to be men, to be white Australians, to be older and to live in regional and rural parts of the country.","Những người cho rằng các quan ngại về sự thay đổi khí hậu là không có cơ sở, nhiều khả năng là những người Úc da trắng, lớn tuổi hơn và sống ở miền quê và những phần xa xôi của đất nước."
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're more confident than [[X]]% of people your age that you'll be able to retire comfortably,Quý vị tự tin hơn so với [[X]]% mọi người ở tuổi quý vị là mình sẽ có thể nghỉ hưu một cách thoải mái
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're less confident than [[X]]% of people your age that you'll be able to retire comfortably,Quý vị kém tự tin hơn so với [[X]]% mọi người ở tuổi quý vị là mình sẽ có thể nghỉ hưu một cách thoải mái
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're more confident than [[X]]% of people your age that you'll be able to retire comfortably,Quý vị tự tin hơn [[X]]% mọi người ở tuổi quý vị là mình sẽ có thể nghỉ hư một cách thoải mái
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're less confident than [[X]]% of people your age that you'll be able to retire comfortably,Quý vị kém tự tin hơn [[X]]% mọi người ở tuổi quý vị là mình sẽ có thể nghỉ hưu một cách thoải mái
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're more confident than [[X]]% of people your age about retiring comfortably,Quý vị tự hin hơn [[X]]% mọi người ở tuổi quý vị về việc nghỉ hưu một cách thoải mái
One-third of people around retirement age don't feel confident they'll have enough to live comfortably.,Một phần ba mọi người quanh tuổi nghỉ hưu không cảm thấy tự tin là mình sẽ có đủ tiền để sống một cách thoải mái.
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
You're less confident than [[X]]% of people your age about retiring comfortably,Quý vị kém tự tin hơn so với [[X]]% mọi người ở tuổi quý vị về việc nghỉ hưu một cách thoải mái
One-third of people around retirement age don't feel confident they'll have enough to live comfortably.,Một phần ba mọi người quanh tuổi nghỉ hưu không cảm thấy tự tin là mình sẽ có đủ tiền để sống một cách thoải mái.
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
47% of Australians are not confident they'll have enough money to retire comfortably,47% người Úc không tự tin là họ sẽ có đủ tiền để nghỉ hưu một cách thoải mái
How confident are you that you will have enough money to retire comfortably?,Quý vị tự tin ở mức độ nào là mình sẽ có đủ tiền để nghỉ hưu một cách thoải mái?
"In politics people sometimes talk of left and right. Where would you place yourself on the scale below, where 0 is left and 10 is right?","Trong chính trị, người ta đôi khi nói về cánh tả và cánh hữu. Quý vị liệu đặt mình ở đâu trên thang đo dưới đây, trong đó 0 là tả và 10 là hữu?"
You are more left-wing than [[X]]% of Australians,Quý vị thuộc cánh tả nhiều hơn so với [[X]]% người Úc
You are more right-wing than [[X]]% of Australians,Quý vị thuộc cánh tả nhiều hơn so với [[X]]% người Úc
"In terms of politics, you're a centrist — so are [[X]]% of Australians. ","Về chính trị, quý vị là người trung dung, ở giữa — [[X]]% người Úc khác cũng vậy.  "
How important would you say religion is in your life?,Liệu quý vị nói tôn giáo quan trọng ở mức độ nào trong cuộc sống của mình?
Religion is more important to you than it is to [[x]]% of Australians,"Tôn giáo quan trọng với quý vị hơn, so với [[x]]% người Úc"
How important would you say religion is in your life?,Liệu quý vị nói tôn giáo quan trọng ở mức độ nào trong cuộc sống của mình?
Religion is less important to you than it is to [[x]]% of Australians,"Tôn giáo ít quan trọng với quý vị hơn, so với [[x]]% người Úc"
How important would you say religion is in your life?,Liệu quý vị nói tôn giáo quan trọng ở mức độ nào trong cuộc sống của mình?
How satisfied are you that the education system in Australia is preparing students for a job in the future?,Quý vị hài lòng ở mức nào về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai?
You are more satisfied with the way our education system is preparing students for a job than [[x]]% of people,"Quý vị hài lòng hơn về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai, so với [[x]]% mọi người"
"Notably, parents with children at school tend to be more satisfied than the population overall on this question.","Đặc biệt, về câu hỏi này, các phụ huynh có con đang đi học có xu hướng hài lòng hơn, so với tổng thể dân số."
How satisfied are you that the education system in Australia is preparing students for a job in the future?,Quý vị hài lòng ở mức nào về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai?
Australians are divided on how well our education system is doing,Người Úc bị chia rẽ bởi câu hỏi hệ thống giáo dục của chúng ta đang làm tốt ở mức độ nào
"Notably, parents with children at school tend to be more satisfied than the population overall on this question.","Đặc biệt, về câu hỏi này, các phụ huynh có con đang đi học có xu hướng hài lòng hơn, so với tổng thể dân số."
How satisfied are you that the education system in Australia is preparing students for a job in the future?,Quý vị hài lòng ở mức nào về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai?
You are less satisfied with the way our education system is preparing students for a job than [[x]]% of people,"Quý vị ít hài lòng hơn về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai, so với [[x]]% mọi người"
"Notably, parents with children at school tend to be more satisfied than the population overall on this question.","Đặc biệt, về câu hỏi này, các phụ huynh có con đang đi học có xu hướng hài lòng hơn, so với tổng thể dân số."
How satisfied are you that the education system in Australia is preparing students for a job in the future?,Quý vị hài lòng ở mức nào về việc hệ thống giáo dục ở Úc đang chuẩn bị cho học sinh cho việc làm trong tương lai?
Do you think that young Australians today will be better or worse off overall than their parents?,"Quý vị nghĩ là về tổng thể, giới trẻ Úc ngày nay sẽ thuận lợi hơn hay bất lợi hơn so với cha mẹ họ? "
You are more optimistic about young people's futures than [[X]]% of Australians your age,Quý vị lạc quan về tương lai của giới trẻ hơn so với [[X]]% người Úc ở tuổi quý vị
Only 3 per cent of Australians think young people will be a lot better off than their parents — and younger Aussies themselves are the most pessimistic.,Chỉ 3 phần trăm người Úc nghĩ là giới trẻ sẽ thuận lợi hơn rất nhiều so với cha mẹ họ - và bản thân những người Úc trẻ hơn là bi quan nhất.
Do you think that young Australians today will be better or worse off overall than their parents?,"Quý vị nghĩ là về tổng thể, giới trẻ Úc ngày nay sẽ thuận lợi hơn hay bất lợi hơn so với cha mẹ họ?"
"Next, let's take a look at some of the issues where more Australians agree with your views than disagree with them.","Tiếp theo, chúng ta hãy cùng xem xét đến một số vấn đề mà có thêm nhiều người Úc đồng ý với các quan điểm của quý vị hơn là không đồng ý."
You are more pessimistic about young people's futures than [[X]]% of Australians your age,Quý vị bi quan về tương lai của giới trẻ hơn so với [[X]]% người Úc ở tuổi quý vị
Only 3 per cent of Australians think young people will be much better off than their parents — and younger Aussies themselves are the most pessimistic.,Chỉ 3 phần trăm người Úc nghĩ là giới trẻ sẽ thuận lợi hơn rất nhiều so với cha mẹ họ - và bản thân những người Úc trẻ hơn là bi quan nhất.
Do you think that young Australians today will be better or worse off overall than their parents?,"Quý vị nghĩ là về tổng thể, giới trẻ Úc ngày nay sẽ thuận lợi hơn hay bất lợi hơn so với cha mẹ họ?"
The following issues are ones where a larger proportion of people disagree with your perspective rather than agreeing.,"Sau đây là những vấn đề nơi mà một tỉ lệ lớn hơn mọi người không đồng ý với quan điểm của quý vị, hơn là đồng ý. "
You are among 1 in 5 people who think young Australians will be about as well off as their parents overall,"Quý vị trong số một phần năm mọi người nghĩ là về tổng thể, những người Úc trẻ sẽ thuận lợi như cha mẹ họ vậy"
Only 3 per cent of Australians think young people will be much better off than their parents — and younger Aussies themselves are the most pessimistic.,Chỉ 3 phần trăm người Úc nghĩ là giới trẻ sẽ thuận lợi hơn rất nhiều so với cha mẹ họ - và bản thân những người Úc trẻ hơn là bi quan nhất.
Do you think that young Australians today will be better or worse off overall than their parents?,"Quý vị nghĩ là về tổng thể, giới trẻ Úc ngày nay sẽ thuận lợi hơn hay bất lợi hơn so với cha mẹ họ?"
"And now, let's look at some issues where you answered neutral or don't know — and find out what other Australians think.","Và giờ, chúng ta hãy cùng xem xét một số vấn đề trong đó quý vị đã trả lời trung lập hoặc không biết - và tìm hiểu xem những người Úc khác nghĩ gì."
Most politicians in Australia will lie if they feel the truth will hurt them politically.,Phần lớn các chính trị gia tại Úc sẽ nói dối nếu họ cảm thấy sự thật sẽ bất lợi cho họ về mặt chính trị. 
"Along with 90% of Australians, you don't trust politicians to tell the truth","Cùng với 90% người Úc, quý vị không tin các chính trị gia sẽ nói thật"
Most politicians will lie if they feel the truth will hurt them politically.,Phần lớn các chính trị gia tại Úc sẽ nói dối nếu họ cảm thấy sự thật sẽ bất lợi cho họ về mặt chính trị.
You put more trust in politicians to tell the truth than 90% of Australians do,"Quý vị tin là không tin các chính trị gia sẽ nói thật, nhiều hơn 90% người Úc"
Most politicians will lie if they feel the truth will hurt them politically.,Phần lớn các chính trị gia tại Úc sẽ nói dối nếu họ cảm thấy sự thật sẽ bất lợi cho họ về mặt chính trị.
Very few Australians trust our politicians to tell the truth,Rất ít người Úc tin là các chính trị gia của chúng ta sẽ nói thật
"You weren't sure on this one, but most Australians have a very clear view.","Quý vị không biết chắc chắn về vấn đề này, nhưng hầu hết người Úc có một quan điểm rất rõ ràng."
Most politicians will lie if they feel the truth will hurt them politically.,Phần lớn các chính trị gia tại Úc sẽ nói dối nếu họ cảm thấy sự thật sẽ bất lợi cho họ về mặt chính trị.
Big businesses care more about profit than they do about what's best for Australia.,Các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến những gì tốt đẹp nhất cho nước Úc.
"You say big businesses care more about profits than doing the right thing by the country, and 90% of Australians agree with you",Quý vị nói là các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến việc làm theo lẽ phải và 90% người Úc đồng ý với quý vị
"LNP voters are the most likely to believe big businesses have got our back as a nation, but even that percentage is low (10%).","Những người bỏ phiếu cho LNP có nhiều khả năng tin tưởng nhất là các doanh nghiệp lớn được đất nước ủng hộ, nhưng ngay cả như vậy thì tỉ lệ phần trăm vẫn thấp (10%)."
Big businesses care more about profit than they do about what's best for Australia.,Các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến những gì tốt đẹp nhất cho nước Úc.
You're one of 5% of Australians who believe big businesses care about the national interest at least as much as profits,"Quý vị là một trong số 5% người Úc tin là các doanh nghiệp lớn quan tâm đến quyền gia quốc gia, ít nhất cũng không thua kém gì so với việc quan tâm đến lợi nhuận"
"LNP voters are the most likely group to believe big businesses have got our back as a nation, but even that percentage is low (10%).","Những người bỏ phiếu cho LNP có nhiều khả năng tin tưởng nhất là các doanh nghiệp lớn được đất nước ủng hộ, nhưng ngay cả như vậy thì tỉ lệ phần trăm vẫn thấp (10%)."
Big businesses care more about profit than they do about what's best for Australia.,Các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến những gì tốt đẹp nhất cho nước Úc.
90% of Australians think big businesses care more about profits than doing the right thing by the country,90% người Úc cho là các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến việc làm theo lẽ phải 
"LNP voters are the most likely to believe big businesses have got our back as a nation, but even that percentage is low (10%).","Những người bỏ phiếu cho LNP có nhiều khả năng tin tưởng nhất là các doanh nghiệp lớn được đất nước ủng hộ, nhưng ngay cả như vậy thì tỉ lệ phần trăm vẫn thấp (10%)."
Big businesses care more about profit than they do about what's best for Australia.,Các doanh nghiệp lớn quan tâm đến lợi nhuận nhiều hơn đến những gì tốt đẹp nhất cho nước Úc.
"In general, how would you characterise your mental health?","Về tổng quát, liệu quý vị mô tả sức khỏe tâm thần của mình thế nào?"
You're not alone — 15% of people your age rated their mental health as poor,Không riêng gì quý vị - 15% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 29% of people your age rated their mental health as fair,Không riêng gì quý vị - 29% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 57% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 57% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.","Proportion of people who rate their mental health as either 'poor' or 'fair', by age group."
You're not alone — 15% of people your age rated their mental health as poor,Không riêng gì quý vị - 15% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 27% of people your age rated their mental health as fair,Không riêng gì quý vị - 27% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 58% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 58% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 10% of people your age rated their mental health as poor,Không riêng gì quý vị - 10% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 24% of people your age rated their mental health as fair,Không riêng gì quý vị - 24% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 66% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 66% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 8% of people your age rated their mental health as poor,Không riêng gì quý vị - 8% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 22% of people your age rated their mental health as fair,Không riêng gì quý vị - 22% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 69% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 69% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 5% of people your age rated their mental health as poor,Không riêng gì quý vị - 5% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 20% of people your age rated their mental health as fair,Không riêng gì quý vị - 20% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 75% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 75% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 8% of Australians rate their mental health as poor,Không riêng gì quý vị - 8% người Úc xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 11% of people your age rated their mental health as fair,Không riêng gì quý vị - 11% mọi người ở tuổi quý vị xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 87% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 87% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 8% of Australians rate their mental health as poor,Không riêng gì quý vị - 8% người Úc xếp loại sức khỏe tâm thần của mình là tồi tệ
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
You're not alone — 21% of Australians rated their mental health as fair,Không riêng gì quý vị - 21% người Úc xếp loại sức khỏe tâm thần của mình là trung bình
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"When it comes to mental health, you're among 92% of people your age who said they're doing well","Liên quan đến sức khỏe tâm thần, quý vị trong số 92% mọi người ở tuổi quý vị nói là họ có sức khỏe tốt"
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.",Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'. 
"In politics people sometimes talk of left and right. Where would you place yourself on the scale below, where 0 is left and 10 is right?","Trong chính trị, người ta đôi khi nói về cánh tả và cánh hữu. Quý vị liệu đặt mình ở đâu trên thang đo dưới đây, trong đó 0 là tả và 10 là hữu?"
en,vi
"Across all ages, 71% of Australians rate their mental health as good, very good or excellent. Younger Australians say their mental health is 'poor' or 'fair' at much higher rates than older people.","Ở tất cả các độ tuổi, 71% người Úc xếp loại sức khỏe tâm thần của mình là tốt, rất tốt hoặc tuyệt vời. Tỉ lệ người Úc trẻ hơn nói là sức khỏe tâm thần của họ là 'tồi tệ' hoặc 'trung bình', cao hơn nhiều so với tỉ lệ này ở những người Úc lớn tuổi hơn."
"Proportion of people who rate their mental health as either 'poor' or 'fair', by age group.","Tỉ lệ theo nhóm tuổi những người xếp loại sức khỏe tâm thần của mình là 'tồi tệ' hoặc 'trung bình'."""
Most Australians agree that people are being discriminated against on religious grounds at least occasionally.,"Hầu hết người Úc đồng ý là mọi người bị phân biệt đối xử trên cơ sở tôn giáo, ít nhất ở mức độ thi thoảng."
Those with and without a religion have fairly similar views about how often religious discrimination occurs in Australia.,Những người có và không có tôn giáo có các quan điểm tương đối giống nhau về mức độ thường xuyên của việc phân biệt đối xử do tôn giáo xảy ra ở Úc.
How frequently do you think people in Australia are being discriminated against on the basis of religion?,Quý vị cho là mọi người ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào do tôn giáo?
